time,value
1732463421303224286,1
1732463422403675239,1
1732463423303161028,1
1732463424303492537,1
1732463425301894963,1
1732463426303007369,1
1732463427312540660,1
1732463428302801802,1
1732463429303915824,1
1732463430303667842,1
1732463431306622429,1
1732463432303359996,1
1732463433304416779,1
1732463434303624090,1
1732463435310013353,1
1732463436304385785,1
1732463437303687942,1
1732463438302762213,1
1732463439305500696,1
1732463440302883208,1
1732463441355029095,1
1732463442303208465,1
1732463443303942926,1
1732463444303382649,1
1732463445303558807,1
1732463446304063610,1
1732463447303617736,1
1732463448305775547,1
1732463449303340911,1
1732463450303881199,1
1732463451303451878,1
1732463452306448544,1
1732463453305184733,1
1732463454319366447,1
1732463455305708792,1
1732463456299025682,1
1732463457317410884,1
1732463458311029889,1
1732463459310842249,1
1732463460342033576,1
1732463461310839093,1
1732463462310598874,1
1732463463311915864,1
1732463464312867381,1
1732463465310912590,1
1732463466310894387,1
1732463467311148710,1
1732463468311229191,1
1732463469310386116,1
1732463470312026770,1
1732463471310530346,1
1732463472310565090,1
1732463474638212177,1
1732463474638442938,1
1732463475310730015,1
1732463476311236230,1
1732463477310876588,1
1732463478314591805,1
1732463479316776834,1
1732463480310628894,1
1732463481311435001,1
1732463482366415109,1
1732463483310954240,1
1732463484310638411,1
1732463485310739158,1
1732463486313156401,1
1732463487320240920,1
1732463488312727060,1
1732463489311717883,1
1732463490320966777,1
1732463491314536548,1
1732463492311854320,1
1732463493311328629,1
1732463494319206100,1
1732463495318120122,1
1732463496312263554,1
1732463497312809405,1
1732463498312229693,1
1732463499309516949,1
1732463500312645471,1
1732463501324832550,1
1732463502312920324,1
1732463503312553961,1
1732463504325458591,1
1732463505312026046,1
1732463506312457862,1
1732463507311247883,1
1732463508317771004,1
1732463509312658697,1
1732463510311615230,1
1732463511311959881,1
1732463512312901501,1
1732463513312602081,1
1732463514312117576,1
1732463515312079654,1
1732463516310531693,1
1732463517365131252,1
1732463518314266267,1
1732463519327015856,1
1732463520316004423,1
1732463521316829885,1
1732463522316972371,1
1732463523316325493,1
1732463524316266182,1
1732463525317816347,1
1732463526318464824,1
1732463527316042314,1
1732463528315664740,1
1732463529310723792,1
1732463530327265370,1
1732463531326246205,1
1732463532315748130,1
1732463533315520357,1
1732463534321408934,1
1732463535316766703,1
1732463536319219866,1
1732463537316091644,1
1732463538315432694,1
1732463539315752972,1
1732463540315681107,1
1732463541316252294,1
1732463542315903293,1
1732463543317385090,1
1732463544315632479,1
1732463545316710562,1
1732463546315234714,1
1732463547325895031,1
1732463548316746527,1
1732463549316647222,1
1732463550316779570,1
1732463551322827042,1
1732463552318178129,1
1732463553322641365,1
1732463554316465181,1
1732463555320143982,1
1732463556317042490,1
1732463557317701920,1
1732463558416830663,1
1732463559316768455,1
1732463560315981556,1
1732463561316802677,1
1732463562317500421,1
1732463563316027200,1
1732463564316764846,1
1732463565317110441,1
1732463566324546775,1
1732463567316111465,1
1732463568318334595,1
1732463569316575381,1
1732463570315446864,1
1732463571329498543,1
1732463572319653688,1
1732463573318998515,1
1732463574318315249,1
1732463575317319850,1
1732463576316665526,1
1732463577330527031,1
1732463578319856446,1
1732463579318419433,1
1732463580441296444,1
1732463581328420360,1
1732463582319000309,1
1732463583318606756,1
1732463584318640891,1
1732463585324084935,1
1732463586319482771,1
1732463587318307328,1
1732463588318415219,1
1732463589319232954,1
1732463590317925363,1
1732463591324389926,1
1732463592320163604,1
1732463593319019277,1
